congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,7,2019-01-17,1,7,48,47,0.215,-0.242,-0.396,-1.435,-4.676,S109,Cloture on the Motion to Proceed Rejected,,,
116,Senate,8,2019-01-24,1,8,88,8,-0.144,0.99,0.005,0.448,-23.104,HR268,Motion for Attendance Agreed to,,,
116,Senate,9,2019-01-24,1,9,50,47,-0.364,0.931,-0.389,-0.845,-10.602,HR268,Cloture Motion Rejected,,,
116,Senate,10,2019-01-24,1,10,52,44,0.187,0.111,0.437,1.372,-9.303,HR268,Cloture Motion Rejected,,,
116,Senate,11,2019-01-28,1,11,74,19,-0.083,-0.997,-0.19,-0.368,-25.907,S1,Cloture on the Motion to Proceed Agreed to,,,
116,Senate,12,2019-01-29,1,12,76,22,-0.438,0.899,-0.3,-0.146,-26.521,S1,Motion to Proceed Agreed to,,,
116,Senate,13,2019-01-31,1,13,68,23,-0.69,0.723,-0.324,-0.703,-27.432,S1,Cloture Motion Agreed to,,,
116,Senate,14,2019-02-04,1,14,70,26,-0.724,0.69,-0.369,-0.959,-28.173,S1,Amendment Agreed to,,,
116,Senate,15,2019-02-04,1,15,72,24,-0.599,0.801,-0.384,-0.619,-25.326,S1,Cloture Motion Agreed to,,,
116,Senate,16,2019-02-05,1,16,77,23,-0.583,0.812,-0.386,-0.544,-25.001,S1,Bill Passed,,,
116,Senate,17,2019-02-05,1,17,99,1,0.0,0.0,0.0,0.0,0.0,S47,Cloture on the Motion to Proceed Agreed to,,,
116,Senate,18,2019-02-07,1,18,66,33,0.485,-0.875,0.226,0.094,-28.376,S47,Motion to Table Agreed to,,,
116,Senate,19,2019-02-07,1,19,68,30,0.59,-0.808,0.236,0.201,-29.785,S47,Motion to Table Agreed to,,,
116,Senate,20,2019-02-11,1,20,60,33,0.599,-0.801,0.763,0.993,-19.224,S47,Motion to Table Agreed to,,,
116,Senate,21,2019-02-11,1,21,87,7,0.576,-0.818,0.39,-0.232,-11.124,S47,Cloture Motion Agreed to,,,
116,Senate,22,2019-02-12,1,22,92,8,0.538,-0.631,0.665,-0.713,-7.972,S47,Bill Passed,,,
116,Senate,23,2019-02-12,1,23,55,44,-0.364,0.919,-0.534,-0.939,-6.458,PN17,Cloture Motion Agreed to,,,
116,Senate,24,2019-02-14,1,24,54,45,-0.364,0.917,-0.534,-0.943,-6.428,PN17,Nomination Confirmed,,,
116,Senate,25,2019-02-14,1,25,84,15,-0.91,0.415,-0.272,-0.646,-27.447,HJRES31,Cloture Motion Agreed to,,,
116,Senate,26,2019-02-14,1,26,83,16,-0.917,0.398,-0.252,-0.596,-29.447,HJRES31,Conference Report Agreed to,,,
